phone_code;name;country_code;created_at;updated_at;
93;Afghanistan;;04/01/2024 00:59;04/01/2024 00:59;
355;Albania;;04/01/2024 00:59;04/01/2024 00:59;
213;Algeria;;04/01/2024 00:59;04/01/2024 00:59;
+1-684*;American Samoa;;04/01/2024 00:59;04/01/2024 00:59;
376;Andorra;;04/01/2024 00:59;04/01/2024 00:59;
244;Angola;;04/01/2024 00:59;04/01/2024 00:59;
+1-264*;Anguilla;;04/01/2024 00:59;04/01/2024 00:59;
+1-268*;Antigua;;04/01/2024 00:59;04/01/2024 00:59;
54;Argentina;;04/01/2024 00:59;04/01/2024 00:59;
374;Armenia;;04/01/2024 00:59;04/01/2024 00:59;
297;Aruba;;04/01/2024 00:59;04/01/2024 00:59;
247;Ascension;;04/01/2024 00:59;04/01/2024 00:59;
61;Australia;;04/01/2024 00:59;04/01/2024 00:59;
672;Australian External Territories;;04/01/2024 00:59;04/01/2024 00:59;
43;Austria;;04/01/2024 00:59;04/01/2024 00:59;
994;Azerbaijan;;04/01/2024 00:59;04/01/2024 00:59;
+1-242*;Bahamas;;04/01/2024 00:59;04/01/2024 00:59;
973;Bahrain;;04/01/2024 00:59;04/01/2024 00:59;
880;Bangladesh;;04/01/2024 00:59;04/01/2024 00:59;
+1-246*;Barbados;;04/01/2024 00:59;04/01/2024 00:59;
+1-268*;Barbuda;;04/01/2024 00:59;04/01/2024 00:59;
375;Belarus;;04/01/2024 00:59;04/01/2024 00:59;
32;Belgium;;04/01/2024 00:59;04/01/2024 00:59;
501;Belize;;04/01/2024 00:59;04/01/2024 00:59;
229;Benin;;04/01/2024 00:59;04/01/2024 00:59;
+1-441*;Bermuda;;04/01/2024 00:59;04/01/2024 00:59;
975;Bhutan;;04/01/2024 00:59;04/01/2024 00:59;
591;Bolivia;;04/01/2024 00:59;04/01/2024 00:59;
387;Bosnia & Herzegovina;;04/01/2024 00:59;04/01/2024 00:59;
267;Botswana;;04/01/2024 00:59;04/01/2024 00:59;
55;Brazil;;04/01/2024 00:59;04/01/2024 00:59;
+1-284*;British Virgin Islands;;04/01/2024 00:59;04/01/2024 00:59;
673;Brunei Darussalam;;04/01/2024 00:59;04/01/2024 00:59;
359;Bulgaria;;04/01/2024 00:59;04/01/2024 00:59;
226;Burkina Faso;;04/01/2024 00:59;04/01/2024 00:59;
257;Burundi;;04/01/2024 00:59;04/01/2024 00:59;
855;Cambodia;;04/01/2024 00:59;04/01/2024 00:59;
237;Cameroon;;04/01/2024 00:59;04/01/2024 00:59;
1;Canada;;04/01/2024 00:59;04/01/2024 00:59;
238;Cape Verde Islands;;04/01/2024 00:59;04/01/2024 00:59;
+1-345*;Cayman Islands;;04/01/2024 00:59;04/01/2024 00:59;
236;Central African Republic;;04/01/2024 00:59;04/01/2024 00:59;
235;Chad;;04/01/2024 00:59;04/01/2024 00:59;
64;Chatham Island (New Zealand);;04/01/2024 00:59;04/01/2024 00:59;
56;Chile;;04/01/2024 00:59;04/01/2024 00:59;
86;China (PRC);;04/01/2024 00:59;04/01/2024 00:59;
61;Christmas Island;;04/01/2024 00:59;04/01/2024 00:59;
